data;canal;cidade;zona;negocio;tipo;estrelas;avaliacoes;tem_site;dono_falado;contacto;telefone;demo;cartao;qr_pack;estado;proximo_passo;data_proximo;notas
2026-09-25;visita;Iași;Copou;Bistro Copou;bistrô;;;;N;;;N;;N;visita;voltar para falar com o dono e mostrar a demo;2026-09-26;dono volta amanhã — RG contraditório (4,2 vs 2,5 com 683) — ver rating Google e se já tem site
2026-09-25;visita;Iași;Copou;Arina (La Dolce Vita - SuperCopou);padaria;5,0;6;N;;;;;;N;reuniao;fechar o site + extras (pack QR, ficha Google, encomendas por WhatsApp);2026-09-26;reunião 26/09 às 10:00 (hora de Iași)
2026-09-25;visita;Iași;;Cabeleireiro (nome a confirmar);salão;;;;;;;N;;N;reuniao;demo do site + sistema de marcações;2026-09-26;reunião 26/09 às 11:00 — hoje marcações em papel, rececionista gere tudo
2026-09-25;visita;Iași;Copou;Bistro Copou;bistrô;;;;;;;N;;N;reuniao;apresentar análise e oportunidade;2026-09-26;reunião 26/09 às 13:00
